Subdomain,Real IP,Resolvers,Status
www.google.com,"142.251.153.119, 142.251.154.119, 142.251.156.119, 142.251.152.119, 142.251.151.119, 142.251.150.119, 142.251.157.119, 142.251.155.119","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
shop.google.com,"172.253.118.92, 74.125.24.92, 74.125.68.92, 172.217.194.92, 74.125.130.92","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
smtp.google.com,"172.253.158.27, 172.217.70.26, 142.250.4.27, 74.125.68.26, 172.253.144.27, 64.233.170.27, 74.125.68.27, 74.125.130.26, 74.125.200.27, 172.217.194.26, 74.125.130.27, 172.253.144.26, 64.233.170.26, 74.125.200.26, 142.250.4.26","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
api.google.com,"172.253.158.105, 142.251.10.104, 142.251.10.147, 142.251.10.103, 142.250.4.103, 172.253.158.99, 172.253.144.147, 142.251.10.99, 142.250.4.106, 172.253.144.105, 142.250.4.105, 172.253.144.106, 142.251.10.105, 172.253.144.99, 172.253.144.103, 142.250.4.104, 142.250.4.147, 172.253.144.104, 172.253.158.104, 172.253.158.106, 142.251.10.106, 142.250.4.99, 172.253.158.147, 172.253.158.103","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
ns2.google.com,216.239.34.10,"8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
account.google.com,"74.125.68.101, 74.125.68.139, 64.233.170.102, 74.125.24.138, 142.251.12.102, 64.233.170.100, 74.125.68.113, 74.125.68.102, 142.251.12.100, 74.125.68.138, 74.125.24.102, 142.251.12.113, 74.125.24.139, 64.233.170.138, 64.233.170.139, 74.125.24.113, 142.251.12.101, 142.251.12.138, 64.233.170.113, 64.233.170.101, 74.125.24.101, 142.251.12.139, 74.125.68.100, 74.125.24.100","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
admin.google.com,"64.233.170.102, 142.251.10.102, 74.125.130.100, 74.125.130.139, 142.251.10.113, 64.233.170.100, 74.125.130.138, 74.125.200.139, 74.125.130.101, 64.233.170.138, 64.233.170.139, 74.125.200.113, 142.251.10.101, 74.125.130.113, 64.233.170.113, 74.125.200.100, 64.233.170.101, 74.125.200.101, 74.125.130.102, 142.250.199.206, 142.251.10.138, 142.251.10.100, 74.125.200.138, 142.251.10.139, 74.125.200.102","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
id.google.com,"172.217.70.94, 142.250.197.67, 74.125.24.94, 142.250.4.94, 142.251.10.94","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
web.google.com,"172.217.194.113, 74.125.68.101, 74.125.68.139, 142.251.10.102, 74.125.24.138, 172.217.194.102, 172.217.194.138, 142.251.10.113, 172.217.194.101, 74.125.68.113, 74.125.68.102, 74.125.24.102, 74.125.68.138, 74.125.24.139, 74.125.24.113, 142.251.10.101, 74.125.24.101, 142.251.10.138, 74.125.68.100, 142.251.10.100, 74.125.24.100, 172.217.194.100, 172.217.194.139, 142.251.10.139","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
wap.google.com,"172.217.194.113, 74.125.68.101, 74.125.68.139, 74.125.24.138, 172.217.194.102, 172.217.194.138, 172.217.194.101, 74.125.200.139, 74.125.68.113, 74.125.68.102, 74.125.24.102, 74.125.68.138, 74.125.24.139, 74.125.200.113, 74.125.24.113, 74.125.200.100, 74.125.200.101, 74.125.24.101, 74.125.68.100, 74.125.24.100, 172.217.194.100, 74.125.200.138, 172.217.194.139, 74.125.200.102","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
m.google.com,"172.253.118.193, 172.217.194.193, 74.125.68.193, 142.250.4.193","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
mail.google.com,"142.250.4.17, 142.250.4.83, 142.251.10.17, 142.250.197.101, 142.250.4.19, 74.125.24.19, 142.251.10.83, 142.250.4.18, 142.251.10.19, 74.125.24.17, 142.251.10.18, 74.125.24.18, 74.125.24.83","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
ns1.google.com,216.239.32.10,"8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
mobile.google.com,"74.125.200.193, 172.253.118.193, 74.125.68.193","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
vpn.google.com,"64.9.224.68, 64.9.224.70, 64.9.224.69","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
support.google.com,"172.253.144.100, 74.125.130.100, 172.253.118.138, 74.125.130.139, 172.253.118.139, 172.253.118.102, 74.125.130.138, 172.253.118.100, 74.125.200.139, 74.125.130.101, 172.253.144.101, 74.125.200.113, 172.253.144.139, 74.125.130.113, 74.125.200.100, 74.125.200.101, 172.253.118.113, 74.125.130.102, 172.253.144.102, 172.253.118.101, 172.253.144.138, 172.253.144.113, 74.125.200.138, 74.125.200.102","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
cloud.google.com,"172.253.158.101, 172.253.158.102, 74.125.200.102, 142.250.4.102, 172.253.118.138, 172.253.118.139, 172.253.158.100, 172.253.118.102, 172.253.118.100, 74.125.200.139, 142.250.4.139, 172.253.158.138, 172.253.158.139, 74.125.200.113, 142.250.4.101, 74.125.200.100, 74.125.200.101, 172.253.118.113, 172.253.118.101, 172.253.158.113, 142.250.4.138, 142.250.4.100, 74.125.200.138, 142.250.4.113","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
